Archivo,Parametro_Analizado,Ancho_Pulso,Tipo_Variable_X,Grupo,Valor_X,Valor_Y
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.305577490736439,1.7795
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.5092958178940651,-0.3772500000000001
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.713014145051691,0.9135
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,80.0,1.99325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,80.0,1.845
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,80.0,0.92725
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,88.0,2.2825
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,88.0,1.93425
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,88.0,2.7955
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,90.0,3.7885
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,90.0,3.484333333333333
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,90.0,4.32
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,93.33333333333333,1.3465
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,93.33333333333333,4.938499999999999
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,93.33333333333333,5.63575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,94.0,5.40475
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,94.0,9.7865
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,94.0,10.1395
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,96.0,3.494
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,96.0,16.06475
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,96.0,19.5
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,96.0,7.3115
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,96.0,10.3145
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,96.0,10.98175
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,98.0,17.6585
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,98.0,21.18175
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,98.0,15.66525
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P30,98.66666666666667,20.65925
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P50,98.66666666666667,15.649
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Solap,P70,98.66666666666667,23.339
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.101859163578813,20.65925
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.169765272631355,15.649
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.237671381683897,23.339
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.101859163578813,7.3115
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.169765272631355,10.3145
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.237671381683897,10.98175
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.101859163578813,1.3465
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.169765272631355,4.938499999999999
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.237671381683897,5.63575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.1527887453682195,17.6585
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.2546479089470325,21.18175
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.3565070725258455,15.66525
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.1527887453682195,5.40475
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.2546479089470325,9.7865
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.3565070725258455,10.1395
